Kitap_ID,Baslik,Yazar,Tur,Kategori,Kaynak,Yayın_Yili,Temizlenmis_Ozet,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Stemmed_Tokenlar
KIT001,Suç ve Ceza,Fyodor Dostoyevski,Roman,Çeviri,Goodreads,1866,Klasik Rus edebiyatının başyapıtlarından biri olan bu roman genç bir öğrencinin işlediği cinayetin ardından yaşadığı psikolojik çöküşü anlatmaktadır Raskolnikov adlı karakter üstün insanın sıradan ahlak kurallarının üstünde olduğunu savunur Ancak suç sonrası vicdanın baskısı onu yıkıma sürükler Dostoyevski bu eserde insan ruhunun derinliklerini olağanüstü bir ustalıkla gözler önüne serer,"Klasik Rus edebiyatının başyapıtlarından biri olan bu roman, genç bir öğrencinin işlediği cinayetin ardından yaşadığı psikolojik çöküşü anlatmaktadır. | Raskolnikov adlı karakter, üstün insanın sıradan ahlak kurallarının üstünde olduğunu savunur. | Ancak suç sonrası vicdanın baskısı onu yıkıma sürükler. | Dostoyevski bu eserde insan ruhunun derinliklerini olağanüstü bir ustalıkla gözler önüne serer.",49,klasik rus edebiyatının başyapıtlarından biri roman genç öğrencinin işlediği cinayetin ardından yaşadığı psikolojik çöküşü anlatmaktadır raskolnikov adlı karakter üstün insanın sıradan ahlak kurallarının üstünde olduğunu savunur suç sonrası vicdanın baskısı onu yıkıma sürükler dostoyevski eserde insan ruhunun derinliklerini olağanüstü ustalıkla gözler önüne serer,klasik rus edebiyat başyapıt bir roma genç öğrenci işledik cinayet ardı yaşadık psikolojik çöküş anlatmak raskolnikov adlı karakter üs insa sıra ahlak kural üst olduk savunur suç sonras vicda baskıs on yık sürük dostoyevski eser in ruh derinlik olağanüs ustalık göz ön serer
KIT002,İnce Memed,Yaşar Kemal,Roman,Türk Edebiyatı,Kitapyurdu,1955,Anadolu nun ağalık düzenine karşı başkaldıran genç bir köylünün destansı hikayesini anlatan bu roman Türk edebiyatının en önemli eserlerinden kabul edilmektedir Memed zulme uğrayan köylülerin umudu haline gelir ve dağlara çıkarak efsanevi bir eşkıya olur Yaşar Kemal bu romanıyla hem toplumsal gerçekçiliği hem de epik anlatımı ustalıkla bir araya getirmiştir,"Anadolu'nun ağalık düzenine karşı başkaldıran genç bir köylünün destansı hikayesini anlatan bu roman, Türk edebiyatının en önemli eserlerinden kabul edilmektedir. | Memed, zulme uğrayan köylülerin umudu haline gelir ve dağlara çıkarak efsanevi bir eşkıya olur. | Yaşar Kemal bu romanıyla hem toplumsal gerçekçiliği hem de epik anlatımı ustalıkla bir araya getirmiştir.",50,anadolu ağalık düzenine başkaldıran genç köylünün destansı hikayesini anlatan roman türk edebiyatının önemli eserlerinden kabul edilmektedir memed zulme uğrayan köylülerin umudu haline gelir dağlara çıkarak efsanevi eşkıya olur yaşar kemal romanıyla toplumsal gerçekçiliği epik anlatımı ustalıkla araya getirmiştir,anadol ağalık düzen başkaldıra genç köylü destansı hikaye anla roma türk edebiyat önemli eser kabul edilmek memedi zulme uğraya köylü umudu hal gelir dak çıkarak efsanev eşkı olur yaşar kemal roman toplumsal gerçekçilik epik anlat ustalık ara getir
KIT003,Tutunamayanlar,Oğuz Atay,Roman,Türk Edebiyatı,D&R,1972,Türk edebiyatının en özgün ve deneysel romanlarından biri olan bu eser topluma uyum sağlayamayan bireylerin trajikomik hikayesini anlatır Selim Işık adlı karakterin intiharını araştıran Turgut Özben in yolculuğu modern Türkiye nin kültürel kimlik bunalımını gözler önüne serer Oğuz Atay bu romanla Türk edebiyatına yeni bir soluk getirmiştir,"Türk edebiyatının en özgün ve deneysel romanlarından biri olan bu eser, topluma uyum sağlayamayan bireylerin trajikomik hikayesini anlatır. | Selim Işık adlı karakterin intiharını araştıran Turgut Özben'in yolculuğu, modern Türkiye'nin kültürel kimlik bunalımını gözler önüne serer. | Oğuz Atay bu romanla Türk edebiyatına yeni bir soluk getirmiştir.",47,türk edebiyatının özgün deneysel romanlarından biri eser topluma uyum sağlayamayan bireylerin trajikomik hikayesini anlatır selim ışık adlı karakterin intiharını araştıran turgut özben yolculuğu modern türkiye kültürel kimlik bunalımını gözler önüne serer oğuz atay romanla türk edebiyatına soluk getirmiştir,türk edebiyat özgü deneysel roman bir eser topl u sağlayamaya birey trajikomik hikaye an sel ışık adlı karakter intihar araştıra turgut özbe yolculuk modern türki kültürel kimlik bunalım göz ön serer ok atay roma türk edebiyat soluk getir
KIT004,Beyaz Diş,Jack London,Roman,Çeviri,Goodreads,1906,Yaban hayatın zorlu koşullarında büyüyen yarı kurt yarı köpek bir hayvanın hikayesini anlatan bu roman doğa ve medeniyetin çatışmasını ustalıkla işler Beyaz Diş in vahşi doğadan insan medeniyetine geçişi evrensel bir uyum ve dönüşüm hikayesi sunar Jack London bu eserde hem macera hem de derin felsefi sorgulamaları bir arada sunar,"Yaban hayatın zorlu koşullarında büyüyen yarı kurt yarı köpek bir hayvanın hikayesini anlatan bu roman, doğa ve medeniyetin çatışmasını ustalıkla işler. | Beyaz Diş'in vahşi doğadan insan medeniyetine geçişi, evrensel bir uyum ve dönüşüm hikayesi sunar. | Jack London bu eserde hem macera hem de derin felsefi sorgulamaları bir arada sunar.",50,yaban hayatın zorlu koşullarında büyüyen yarı kurt yarı köpek hayvanın hikayesini anlatan roman doğa medeniyetin çatışmasını ustalıkla işler beyaz diş vahşi doğadan insan medeniyetine geçişi evrensel uyum dönüşüm hikayesi sunar jack london eserde macera derin felsefi sorgulamaları arada sunar,yaba hayat zorlu koşul büyüye yar kurt yar köpek hayva hikaye anla roma dok medeniyet çatışma ustalık iş beyaz diş vahşi doğa in medeniyet geçiş evrensel u dönüş hikayes sunar jack londo eser macer der felsef sorgulama ara sunar
KIT005,Şeker Portakalı,José Mauro de Vasconcelos,Roman,Çeviri,Kitapyurdu,1968,Brezilya da yaşayan yoksul bir ailenin küçük çocuğu Zezé nin hayata bakışını anlatan bu roman yürek burkan bir büyüme hikayesidir Hayal gücü son derece kuvvetli olan Zezé acıları ve mutlulukları arasında hayatı anlamlandırmaya çalışır Bu eser tüm dünyada milyonlarca okuyucunun kalbine dokunmayı başarmıştır,"Brezilya'da yaşayan yoksul bir ailenin küçük çocuğu Zezé'nin hayata bakışını anlatan bu roman, yürek burkan bir büyüme hikayesidir. | Hayal gücü son derece kuvvetli olan Zezé, acıları ve mutlulukları arasında hayatı anlamlandırmaya çalışır. | Bu eser tüm dünyada milyonlarca okuyucunun kalbine dokunmayı başarmıştır.",43,brezilya yaşayan yoksul ailenin çocuğu zezé hayata bakışını anlatan roman yürek burkan büyüme hikayesidir hayal gücü son derece kuvvetli zezé acıları mutlulukları hayatı anlamlandırmaya çalışır eser dünyada milyonlarca okuyucunun kalbine dokunmayı başarmıştır,brezilya yaşaya yoksul aile çocuk zezé haya bakış anla roma yürek burka büy hikayes hayal güç son dereç kuvvetli zezé acı mutluluk hayat anlamlandırma çalışır eser dünya milyon okuyuç kalp dokunma başar
KIT006,Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,Roman,Türk Edebiyatı,D&R,1961,Türk edebiyatının en önemli eserlerinden olan bu roman modernleşme sürecindeki Türkiye yi ve bu süreçte bireyin yaşadığı kimlik bunalımını ironik bir dille anlatır Hayri İrdal adlı karakterin hayatı üzerinden Doğu ile Batı arasında sıkışan Türk aydınının tragikomedisi gözler önüne serilir Tanpınar bu eserde zaman ve kimlik temalarını olağanüstü bir ustalıkla işlemiştir,"Türk edebiyatının en önemli eserlerinden olan bu roman, modernleşme sürecindeki Türkiye'yi ve bu süreçte bireyin yaşadığı kimlik bunalımını ironik bir dille anlatır. | Hayri İrdal adlı karakterin hayatı üzerinden Doğu ile Batı arasında sıkışan Türk aydınının tragikomedisi gözler önüne serilir. | Tanpınar bu eserde zaman ve kimlik temalarını olağanüstü bir ustalıkla işlemiştir.",51,türk edebiyatının önemli eserlerinden roman modernleşme sürecindeki türkiye süreçte bireyin yaşadığı kimlik bunalımını ironik dille anlatır hayri irdal adlı karakterin hayatı üzerinden doğu batı sıkışan türk aydınının tragikomedisi gözler önüne serilir tanpınar eserde zaman kimlik temalarını olağanüstü ustalıkla işlemiştir,türk edebiyat önemli eser roma modernleşme süreç türki süreç birey yaşadık kimlik bunalım ironik dil an hayri irdal adlı karakter hayat üzer dok bat sıkışa türk aydın tragikomedis göz ön serilir tanpınar eser zama kimlik tema olağanüs ustalık işlemiş
KIT007,Anna Karenina,Lev Tolstoy,Roman,Çeviri,Goodreads,1878,Tolstoy un başyapıtı olan bu roman yüzyıl Rus aristokrasisinde yasak aşk yaşayan Anna Karenina nın trajik hikayesini anlatır Toplumsal normlar ve kişisel özgürlük arasındaki çatışma romanın temel eksenini oluşturur Eser hem aşk hem de toplumsal eleştiri açısından dünya edebiyatının en büyük romanları arasında yer almaktadır,"Tolstoy'un başyapıtı olan bu roman, 19. yüzyıl Rus aristokrasisinde yasak aşk yaşayan Anna Karenina'nın trajik hikayesini anlatır. | Toplumsal normlar ve kişisel özgürlük arasındaki çatışma romanın temel eksenini oluşturur. | Eser hem aşk hem de toplumsal eleştiri açısından dünya edebiyatının en büyük romanları arasında yer almaktadır.",45,tolstoy başyapıtı roman yüzyıl rus aristokrasisinde yasak aşk yaşayan anna karenina trajik hikayesini anlatır toplumsal normlar kişisel özgürlük arasındaki çatışma romanın temel eksenini oluşturur eser aşk toplumsal eleştiri açısından dünya edebiyatının romanları yer almaktadır,tolstoy başyapıt roma yüzyıl rus aristokrasi yasak aşk yaşaya anna karen trajik hikaye an toplumsal norm kişisel özgürlük aras çatışma roma temel eksen oluşturur eser aşk toplumsal eleştir açı dünya edebiyat roman yer almak
KIT008,Yaprak Dökümü,Reşat Nuri Güntekin,Roman,Türk Edebiyatı,Kitapyurdu,1930,Aile kurumunun çöküşünü ve modernleşmenin getirdiği değer yitimini anlatan bu roman Türk edebiyatının klasikleri arasında yer almaktadır Ali Rıza Bey in ailesi üzerinden geleneksel değerlerin nasıl aşındığı ve nesiller arası çatışma ele alınmaktadır Reşat Nuri Güntekin bu eserde toplumsal dönüşümü derin bir insani sezgiyle aktarmıştır,"Aile kurumunun çöküşünü ve modernleşmenin getirdiği değer yitimini anlatan bu roman, Türk edebiyatının klasikleri arasında yer almaktadır. | Ali Rıza Bey'in ailesi üzerinden geleneksel değerlerin nasıl aşındığı ve nesiller arası çatışma ele alınmaktadır. | Reşat Nuri Güntekin bu eserde toplumsal dönüşümü derin bir insani sezgiyle aktarmıştır.",45,aile kurumunun çöküşünü modernleşmenin getirdiği değer yitimini anlatan roman türk edebiyatının klasikleri yer almaktadır ali rıza bey ailesi üzerinden geleneksel değerlerin nasıl aşındığı nesiller arası çatışma ele alınmaktadır reşat nuri güntekin eserde toplumsal dönüşümü derin insani sezgiyle aktarmıştır,ai kurum çöküş modernleşme getirdik değer yitim anla roma türk edebiyat klasik yer almak ali rız bey ailes üzer geleneksel değer nasıl aşındık nesil aras çatışma el alınmak reşat nuri güntek eser toplumsal dönüş der insa sezgi aktar
KIT009,Dönüşüm,Franz Kafka,Novella,Çeviri,D&R,1915,Kafka nın en ünlü eseri olan bu novella bir sabah dev bir böceğe dönüşen Gregor Samsa nın hikayesini anlatır Yabancılaşma ve kimlik kaybı temalarını işleyen bu eser modernist edebiyatın önemli başyapıtlarından biridir Ailesi ve toplumu tarafından dışlanan Gregor un trajedisi evrensel bir çaresizliği simgeler,"Kafka'nın en ünlü eseri olan bu novella, bir sabah dev bir böceğe dönüşen Gregor Samsa'nın hikayesini anlatır. | Yabancılaşma ve kimlik kaybı temalarını işleyen bu eser, modernist edebiyatın önemli başyapıtlarından biridir. | Ailesi ve toplumu tarafından dışlanan Gregor'un trajedisi evrensel bir çaresizliği simgeler.",44,kafka ünlü eseri novella sabah dev böceğe dönüşen gregor samsa hikayesini anlatır yabancılaşma kimlik kaybı temalarını işleyen eser modernist edebiyatın önemli başyapıtlarından biridir ailesi toplumu tarafından dışlanan gregor trajedisi evrensel çaresizliği simgeler,kafka ünlü eser novel sabah dev böcek dönüşe gregor sa hikaye an yabancılaşma kimlik kaybı tema işleye eser modernist edebiyat önemli başyapıt bir ailes topl taraf dışlana gregor trajedis evrensel çaresizlik simge
KIT010,Çalıkuşu,Reşat Nuri Güntekin,Roman,Türk Edebiyatı,Goodreads,1922,Türk edebiyatının en sevilen romanlarından olan bu eser ateşli ve idealist bir genç öğretmenin Anadolu daki macerasını anlatır Feride nin hem aşk hem de meslek hayatındaki çalkantılı yolculuğu dönemin Türkiye sini de gözler önüne serer Güntekin bu romanla hem bireysel hem de toplumsal bir aynayı okuyucunun önüne tutmuştur,"Türk edebiyatının en sevilen romanlarından olan bu eser, ateşli ve idealist bir genç öğretmenin Anadolu'daki macerasını anlatır. | Feride'nin hem aşk hem de meslek hayatındaki çalkantılı yolculuğu, dönemin Türkiye'sini de gözler önüne serer. | Güntekin bu romanla hem bireysel hem de toplumsal bir aynayı okuyucunun önüne tutmuştur.",48,türk edebiyatının sevilen romanlarından eser ateşli idealist genç öğretmenin anadolu daki macerasını anlatır feride aşk meslek hayatındaki çalkantılı yolculuğu dönemin türkiye sini gözler önüne serer güntekin romanla bireysel toplumsal aynayı okuyucunun önüne tutmuştur,türk edebiyat sevile roman eser ateşli idealist genç öğretme anadol daki macera an feri aşk meslek hayat çalkantıl yolculuk döne türki s göz ön serer güntek roma bireysel toplumsal ayna okuyuç ön tut
