Kitap_ID,Baslik,Yazar,Tur,Kategori,Kaynak,Yayın_Yili,Ozet
KIT001,Suç ve Ceza,Fyodor Dostoyevski,Roman,Çeviri,Goodreads,1866,"Klasik Rus edebiyatının başyapıtlarından biri olan bu roman, genç bir öğrencinin işlediği cinayetin ardından yaşadığı psikolojik çöküşü anlatmaktadır. Raskolnikov adlı karakter, üstün insanın sıradan ahlak kurallarının üstünde olduğunu savunur. Ancak suç sonrası vicdanın baskısı onu yıkıma sürükler. Dostoyevski bu eserde insan ruhunun derinliklerini olağanüstü bir ustalıkla gözler önüne serer."
KIT002,İnce Memed,Yaşar Kemal,Roman,Türk Edebiyatı,Kitapyurdu,1955,"Anadolu'nun ağalık düzenine karşı başkaldıran genç bir köylünün destansı hikayesini anlatan bu roman, Türk edebiyatının en önemli eserlerinden kabul edilmektedir. Memed, zulme uğrayan köylülerin umudu haline gelir ve dağlara çıkarak efsanevi bir eşkıya olur. Yaşar Kemal bu romanıyla hem toplumsal gerçekçiliği hem de epik anlatımı ustalıkla bir araya getirmiştir."
KIT003,Tutunamayanlar,Oğuz Atay,Roman,Türk Edebiyatı,D&R,1972,"Türk edebiyatının en özgün ve deneysel romanlarından biri olan bu eser, topluma uyum sağlayamayan bireylerin trajikomik hikayesini anlatır. Selim Işık adlı karakterin intiharını araştıran Turgut Özben'in yolculuğu, modern Türkiye'nin kültürel kimlik bunalımını gözler önüne serer. Oğuz Atay bu romanla Türk edebiyatına yeni bir soluk getirmiştir."
KIT004,Beyaz Diş,Jack London,Roman,Çeviri,Goodreads,1906,"Yaban hayatın zorlu koşullarında büyüyen yarı kurt yarı köpek bir hayvanın hikayesini anlatan bu roman, doğa ve medeniyetin çatışmasını ustalıkla işler. Beyaz Diş'in vahşi doğadan insan medeniyetine geçişi, evrensel bir uyum ve dönüşüm hikayesi sunar. Jack London bu eserde hem macera hem de derin felsefi sorgulamaları bir arada sunar."
KIT005,Şeker Portakalı,José Mauro de Vasconcelos,Roman,Çeviri,Kitapyurdu,1968,"Brezilya'da yaşayan yoksul bir ailenin küçük çocuğu Zezé'nin hayata bakışını anlatan bu roman, yürek burkan bir büyüme hikayesidir. Hayal gücü son derece kuvvetli olan Zezé, acıları ve mutlulukları arasında hayatı anlamlandırmaya çalışır. Bu eser tüm dünyada milyonlarca okuyucunun kalbine dokunmayı başarmıştır."
KIT006,Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,Roman,Türk Edebiyatı,D&R,1961,"Türk edebiyatının en önemli eserlerinden olan bu roman, modernleşme sürecindeki Türkiye'yi ve bu süreçte bireyin yaşadığı kimlik bunalımını ironik bir dille anlatır. Hayri İrdal adlı karakterin hayatı üzerinden Doğu ile Batı arasında sıkışan Türk aydınının tragikomedisi gözler önüne serilir. Tanpınar bu eserde zaman ve kimlik temalarını olağanüstü bir ustalıkla işlemiştir."
KIT007,Anna Karenina,Lev Tolstoy,Roman,Çeviri,Goodreads,1878,"Tolstoy'un başyapıtı olan bu roman, 19. yüzyıl Rus aristokrasisinde yasak aşk yaşayan Anna Karenina'nın trajik hikayesini anlatır. Toplumsal normlar ve kişisel özgürlük arasındaki çatışma romanın temel eksenini oluşturur. Eser hem aşk hem de toplumsal eleştiri açısından dünya edebiyatının en büyük romanları arasında yer almaktadır."
KIT008,Yaprak Dökümü,Reşat Nuri Güntekin,Roman,Türk Edebiyatı,Kitapyurdu,1930,"Aile kurumunun çöküşünü ve modernleşmenin getirdiği değer yitimini anlatan bu roman, Türk edebiyatının klasikleri arasında yer almaktadır. Ali Rıza Bey'in ailesi üzerinden geleneksel değerlerin nasıl aşındığı ve nesiller arası çatışma ele alınmaktadır. Reşat Nuri Güntekin bu eserde toplumsal dönüşümü derin bir insani sezgiyle aktarmıştır."
KIT009,Dönüşüm,Franz Kafka,Novella,Çeviri,D&R,1915,"Kafka'nın en ünlü eseri olan bu novella, bir sabah dev bir böceğe dönüşen Gregor Samsa'nın hikayesini anlatır. Yabancılaşma ve kimlik kaybı temalarını işleyen bu eser, modernist edebiyatın önemli başyapıtlarından biridir. Ailesi ve toplumu tarafından dışlanan Gregor'un trajedisi evrensel bir çaresizliği simgeler."
KIT010,Çalıkuşu,Reşat Nuri Güntekin,Roman,Türk Edebiyatı,Goodreads,1922,"Türk edebiyatının en sevilen romanlarından olan bu eser, ateşli ve idealist bir genç öğretmenin Anadolu'daki macerasını anlatır. Feride'nin hem aşk hem de meslek hayatındaki çalkantılı yolculuğu, dönemin Türkiye'sini de gözler önüne serer. Güntekin bu romanla hem bireysel hem de toplumsal bir aynayı okuyucunun önüne tutmuştur."
KIT011,Kuvâyi Milliye,Nâzım Hikmet,Şiir,Türk Edebiyatı,Kitapyurdu,1941,"Türk kurtuluş savaşını destansı bir dille anlatan bu şiir kitabı, Nâzım Hikmet'in en önemli eserlerinden biridir. Halkın savaş deneyimini ve kahramanlığını coşkulu bir dille aktaran şair, hem bireysel hem de toplumsal boyutları ustalıkla bir araya getirir. Bu eser Türk şiirinin kilometre taşlarından kabul edilmektedir."
KIT012,Şeyh Galip Divanı,Şeyh Galip,Şiir,Divan Edebiyatı,D&R,1798,"Osmanlı divan şiirinin son büyük temsilcisi Şeyh Galip'in eserlerini bir araya getiren bu divan, tasavvufi şiirin zirvesi olarak kabul edilmektedir. Aşk ve ilahi güzellik temalarını işleyen şiirler derin sembolik anlam katmanları içermektedir. Hüsn ü Aşk mesnevisiyle birlikte Şeyh Galip'in en olgun dönem eserlerini yansıtmaktadır."
KIT013,Garip,Orhan Veli Kanık,Şiir,Türk Edebiyatı,Goodreads,1941,"Türk şiirinde bir devrim niteliği taşıyan bu kitap, geleneksel şiir anlayışına başkaldırarak sıradan insanın dilini ve yaşamını şiire taşımıştır. Orhan Veli Melih Cevdet Anday ve Oktay Rifat'ın imzasını taşıyan bu manifesto, şiiri seçkin bir azınlıktan kurtararak geniş kitlelere ulaştırmayı hedeflemiştir."
KIT014,Yeraltından Notlar,Fyodor Dostoyevski,Novella,Çeviri,Kitapyurdu,1864,"Dostoyevski'nin topluma yabancılaşmış ve kendisiyle çatışma halindeki bir karakterin iç dünyasını anlattığı bu eser, modern psikolojik romanın öncüsü sayılmaktadır. Yeraltı adamının çelişkili düşünceleri ve toplumsal ilişkilerdeki başarısızlıkları insanlığın evrensel çelişkilerini yansıtmaktadır."
KIT015,Olağanüstü Bir Gece,Ahmet Hamdi Tanpınar,Roman,Türk Edebiyatı,D&R,1959,"Tanpınar'ın İstanbul sevgisi ve Osmanlı'dan Cumhuriyet'e geçiş sürecinin yarattığı kültürel kopuşu işlediği bu roman, hem estetik hem de düşünsel derinliğiyle öne çıkar. Eser zamanın akışı ve hafıza temaları etrafında örülmüş lirik bir anlatı sunmaktadır."
KIT016,Memleketten İnsan Manzaraları,Nâzım Hikmet,Şiir,Türk Edebiyatı,Goodreads,1966,"Nâzım Hikmet'in Türkiye'den insan portrelerini anlattığı bu uzun şiir, farklı sınıf ve mesleklerden insanların hikayelerini ustaca bir araya getirir. Bir tren yolculuğu metaforu etrafında örülen eser, toplumun geniş bir kesitini epik bir şekilde yansıtmaktadır."
